division,sub-division,country,city,zip,lat,lon
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Szczecin,70-661,53.428544,14.552812
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Warszawa Siekierki,02-981,52.211615,21.076041
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Warszawa ?era?,03-216,52.312911,20.994834
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Wroc?aw,51-416,51.107885,17.038538
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Zielona Góra,65-120,51.935621,15.506186
Maintenance. Modifications & Operations,Multiserwis,Poland,Krapkowice,47-300,50.474505,17.965139
Maintenance. Modifications & Operations,Bi Industrial Services Prefal,Portugal,Vila Nova de Gaia,4405-547,41.123876,-8.611785
Maintenance. Modifications & Operations,Bi Industrial Services Prefal,Portugal,Lisboa,1950-197,38.722252,-9.139337
Maintenance. Modifications & Operations,Bi Industrial Services Prefal,Portugal,Sines,7520-309,37.957156,-8.860891
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Portugal,Lisboa,1950-197,38.722252,-9.139337
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Portugal,Oporto,,41.157944,-8.629105
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Portugal,Sines,,37.957156,-8.860891
Maintenance. Modifications & Operations,Babcock Borsig Services Arabia,Saudi Arabia,Al-Khobar,PO Box 4362,26.217191,50.197138
Maintenance. Modifications & Operations,Bi Slovensko,Slovakia,Rovinka,SK-900 41,48.097734,17.235285
Maintenance. Modifications & Operations,Bi Slovensko,Slovakia,Štúrovo,SK-943 03,47.799212,18.715285
Other Operations division,Bi Power Africa,South Africa,Rivonia,2191 Matimba,-26.043166,28.0552
Other Operations division,Bi Power Africa,South Africa,Duvha,,-25.961364,29.338962
Other Operations division,Bi Power Africa,South Africa,Komati,,-25.867344,32.723784
Other Operations division,Bi Power Africa,South Africa,Hendrina,,-26.159897,29.72523
Other Operations division,Bi Power Africa,South Africa,Arnot,,-25.95,29.8
Other Operations division,Bi Power Africa,South Africa,Kriel,,-26.255106,29.263398
Other Operations division,Bi Power Africa,South Africa,Camden,,-26.6,30.083333
Other Operations division,Bi Power Africa,South Africa,Majuba,,-27.80356,30.066524
Other Operations division,Bi Power Africa,South Africa,Bethal,,-26.457866,29.466654
Other Operations division,Bi Power Africa,South Africa,Tutuka,,-26.04339,28.06042
Other Operations division,Bi Power Africa,South Africa,Matla,,-26.283333,29.133333
Other Operations division,Bi Power Africa,South Africa,Grootvlei,,-26.802388,28.527266
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Madrid,28806,40.416775,-3.70379
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Narón,15578,43.501289,-8.192374
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Barcelona,8030,41.385064,2.173403
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Constantí,43120,41.153546,1.212596
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Gijón,33211,43.532202,-5.66112
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Mazagón,21130,37.136925,-6.828392
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Puertollano,13500,38.688446,-4.107888
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,San Roque,11360,36.210462,-5.384432
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,El Puerto de Santa María,11500,36.639328,-6.258837
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Zamudio,48170,43.289176,-2.852724
Maintenance. Modifications & Operations,Bi Industrial Services Spain,Spain,Cartagena,30353,37.625683,-0.996584
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Alvdalen,,61.227306,14.041987
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Kungalv,,57.869754,11.974032
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Avesta,,60.14533,16.17384
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Borlange,,60.484304,15.433969
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Gammelange,,63.141481,16.161572
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Hagfors,,60.03437,13.694508
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Karlstad,,59.402181,13.511498
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Gullspang,,58.985467,14.096623
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Gaddede,,64.502897,14.146112
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Jarpen,,63.34963,13.452908
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Sunne,,59.836557,13.144046
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Torsby,,60.140907,13.010213
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Arvika,,59.654853,12.592136
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Bergvik,,61.258246,16.83415
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Follinge,,63.670506,14.612754
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Sveg,,62.034625,14.359037
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Ostersund,,63.176683,14.636068
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Arbro,,59.275263,15.213411
Maintenance. Modifications & Operations,Bi Industrial Services Sweden,Sweden,Laforsens,,61.937523,15.506312
Engineering & Technologies,Bi Industrietechnik Salzburg,Switzerland,Basel,,47.559599,7.588576
Engineering & Technologies,Bi Industrietechnik Salzburg,Switzerland,Zurich,,47.376887,8.541694
Maintenance. Modifications & Operations,Bi Industrial Services Schweiz,Switzerland,Pratteln,4133,47.51832,7.691989
Maintenance. Modifications & Operations,Bi Industrial Services Schweiz,Switzerland,Gebenstorf,5412,47.484227,8.24199
Maintenance. Modifications & Operations,Bi Industrial Services Schweiz,Switzerland,Zürich,8048,47.376887,8.541694
Maintenance. Modifications & Operations,Bi Industrial Services Schweiz,Switzerland,Zofingen,4800,47.288845,7.944762
Maintenance. Modifications & Operations,Bi Industrial Services Schweiz,Switzerland,Evionnaz,1902,46.178223,7.022379
Engineering & Technologies,Bi Tebodin North West Europe,The Netherlands,Groningen,9727,53.219384,6.566502
Engineering & Technologies,Bi Tebodin North West Europe,The Netherlands,Hengelo,559,52.257412,6.792772
Engineering & Technologies,Bi Tebodin North West Europe,The Netherlands,Deventer,7418,52.266075,6.155217
Engineering & Technologies,Bi Tebodin North West Europe,The Netherlands,Velsen-Noord,1950,52.472747,4.639247
Engineering & Technologies,Bi Tebodin North West Europe,The Netherlands,Schiedam,3100,51.91696,4.398819
Engineering & Technologies,Bi Tebodin North West Europe,The Netherlands,The Hague,16029,52.070498,4.3007
Engineering & Technologies,Bi Tebodin North West Europe,The Netherlands,Eindhoven,6181,51.441642,5.469722
Maintenance. Modifications & Operations,Bi Deutsche Babcock Emirates,UAE,Abu Dhabi,PO Box 38821,24.453884,54.377344
Engineering & Technologies,Bi Tebodin North West Europe,UK,Warrington,,53.390044,-2.59695
Maintenance. Modifications & Operations,Bi Salamis Group,UK,Aberdeen,AB23 8EU,57.149717,-2.094278
Maintenance. Modifications & Operations,Bi Salamis Group,UK,Norfolk,NR30 1HZ,52.613969,0.886402
Maintenance. Modifications & Operations,Bi UK,UK,Runcorn,WA7 1BD,53.342078,-2.729673
Maintenance. Modifications & Operations,Bi UK,UK,Chesterfield,S41 7TD,53.235048,-1.421629
Maintenance. Modifications & Operations,Bi UK,UK,Fareham,PO15 5TH,50.854846,-1.186587
Maintenance. Modifications & Operations,Bi UK,UK,Grangemouth,FK3 8WJ,56.009715,-3.72277
Maintenance. Modifications & Operations,Bi UK,UK,Haydock,WA11 9UX,53.467616,-2.68496
Maintenance. Modifications & Operations,Bi UK,UK,Newton-Le-Willows,WA12 0HF,53.452889,-2.63508
Maintenance. Modifications & Operations,Bi UK,UK,Wokingham,RG41 5TU,51.410457,-0.833861
Maintenance. Modifications & Operations,Bi UK,UK,Immingham,DN40 2LG,53.614012,-0.215913
Maintenance. Modifications & Operations,Bi Government Services,US,Ballwin.  MO,63011,38.595053,-90.546234
Maintenance. Modifications & Operations,Bi Salamis Inc.,US,Broussard. LA,,30.147146,-91.96123
Maintenance. Modifications & Operations,Bi Salamis Inc.,US,La Porte. TX,,29.665784,-95.019373
Maintenance. Modifications & Operations,Bi Westcon,US,Bismarck. ND,58503,46.808327,-100.783739
Maintenance. Modifications & Operations,Bi Industrial Services Inc.,US,Ballwin. MO,63011,38.595053,-90.546234
Maintenance. Modifications & Operations,Bi Industrial Services Inc.,US,Albany. GA,31705,31.578507,-84.155741
Maintenance. Modifications & Operations,Bi Industrial Services Inc.,US,Augusta. GA,30901,33.473498,-82.010515
Maintenance. Modifications & Operations,Bi Industrial Services Inc.,US,Green Bay. WI,54305,44.513319,-88.013296
Maintenance. Modifications & Operations,Bi Industrial Services Inc.,US,Jacksonville. FL,32207,30.332184,-81.655651
Engineering & Technologies,Bi Tebodin B.V.,US,Ballwin. MO,63011,38.595053,-90.546234
Engineering & Technologies,Bi Tebodin B.V.,Bahrain,Manama,2882,26.228516,50.58605
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,Bahrain,Manama,2822,26.228516,50.58605
Maintenance. Modifications & Operations,Bi Tebodin Middle East,Bahrain,Manama,2822,26.228516,50.58605
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Czech Republic,Ostrava,70200,49.820923,18.262524
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Czech Republic,Pardubice,53009,50.034309,15.781199
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Czech Republic,Prague,18600,50.075538,14.4378
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Hungary,Budapest,1518,47.497912,19.040235
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,Kuwait,Safat,26401,29.371265,47.973479
Engineering & Technologies,Bi Tebodin B.V.,Oman,Muscat,130,23.58589,58.405923
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,Oman,Muscat,716,23.58589,58.405923
