id,Country,accomodation_5,accomodation_4,accomodation_3,accomodation_2,accomodation_1,accomodation,food_expensive,food,alcohol,culture,transportation,transportation_taxi,shopping,average_accomodation,average_food,average_transportation,average_food_x2,total_average,total_expensive,total_cheap
IND,India,167.82,98.85,81.61,59.77,43.68,11.49,4.66,3.68,1.61,5.63,0.46,1.38,36.4,77.2,4.17,0.92,8.34,123.6,217.5,59.27
IDN,Indonesia,306.9,93.1,36.78,32.18,10.34,9.2,7.41,3.56,2.3,6.21,0.69,02.07,42.33,81.42,5.49,1.38,10.97,136.4,367.22,64.29
IRN,Iran,0,0,0,0,0,0,11.49,5.17,8.62,4.14,0.46,02.07,59.53,0,8.33,1.27,16.66,76.09,85.85,77.92
IRQ,Iraq,145.98,86.21,62.07,0,0,0,17.24,9.2,2.3,0,0.92,11.72,34.42,49.04,13.22,6.32,26.44,104.72,211.66,46.84
IRL,Ireland,271.26,177.01,151.72,136.78,120.69,18.39,39.25,11.61,6.55,17.24,7.13,9.66,59.07,145.98,25.43,8.4,50.86,254.02,403.03,119.99
ISR,Israel,700,172.41,125.29,109.2,91.95,24.14,32.7,14.71,8.16,10.46,4.37,7.59,77.09,203.83,23.71,5.98,47.41,317.48,836,138.93
ITA,Italy,143.68,97.7,73.56,68.97,50.57,19.54,39.25,11.03,6.32,20.69,4.6,12.41,59.07,75.67,25.14,8.51,50.28,187.27,281.42,121.25
JAM,Jamaica,240.23,136.78,117.24,0,0,14.94,21.38,6.9,2.53,20.69,02.07,8.28,50.12,84.87,14.14,5.18,28.28,173.73,343.23,97.25
JPN,Japan,332.18,204.6,109.2,77.01,59.77,31.03,22.59,7.36,4.48,13.79,4.6,20.69,64.88,135.63,14.98,12.65,29.95,256.72,458.61,126.14
JOR,Jordan,218.39,82.76,78.16,63.22,19.54,08.05,20.29,08.05,5.29,37.93,1.61,2.76,95,78.35,14.17,2.19,28.34,223.13,379.66,155.93
KAZ,Kazakhstan,214.94,175.86,56.32,25.29,0,9.2,24.14,7.7,1.84,2.76,0.92,7.59,73.49,80.27,15.92,4.26,31.84,171.12,324.76,95.91
KEN,Kenya,252.87,119.54,86.21,70.11,33.33,6.9,15.17,6.78,1.95,40.23,1.38,11.72,31.51,94.83,10.98,6.55,21.95,188.17,353.45,88.75
KWT,Kuwait,171.26,151.72,113.79,57.47,0,0,20.8,07.01,8.16,0,02.07,11.03,78.6,82.37,13.91,6.55,27.81,188.78,289.85,95.84
KGZ,Kyrgyzstan,264.37,120.69,48.28,29.89,0,13.79,17.01,3.45,1.15,0,0.46,1.38,87.21,79.5,10.23,0.92,20.46,170.62,371.12,106.06
LAO,Laos,172.41,106.9,44.83,29.89,0,10.34,10.06,3.79,1.38,5.4,4.6,5.52,9.3,60.73,6.93,05.06,13.85,91.99,204.07,34.81
LVA,Latvia,272.41,85.06,56.32,39.08,35.63,12.64,22.41,7.82,02.07,5.29,2.3,6.9,63.95,83.52,15.12,4.6,30.23,168.63,373.03,94.07
LBN,Lebanon,172.41,97.7,81.61,51.72,45.98,18.39,28.74,9.2,2.3,28.74,2.99,22.76,65.23,77.97,18.97,12.88,37.94,212.86,320.18,126.85
LSO,Lesotho,0,158.62,126.44,0,0,0,9.83,5.75,1.49,14.94,1.38,3.45,22.56,47.51,7.79,2.42,15.58,93.75,52.27,46.12
LBR,Liberia,0,91.95,82.76,0,0,0,16.67,10.34,3.45,0,0,17.24,0,29.12,13.51,8.62,27.01,58.43,37.36,13.79
LBY,Libya,0,106.9,0,0,0,0,9.14,6.44,7.36,0,0.92,13.79,92.67,17.82,7.79,7.36,15.58,139.91,122.96,107.39
LTU,Lithuania,159.77,90.8,62.07,45.98,31.03,12.64,15.92,6.78,2.76,8.28,2.3,5.52,75.23,67.05,11.35,3.91,22.7,165.05,267.48,107.99
LUX,Luxembourg,177.01,127.59,103.45,96.55,93.1,33.33,56.9,12.53,4.71,9.77,6.21,27.59,71.16,105.17,34.72,16.9,69.43,241.51,347.14,137.71
MDG,Madagascar,158.62,109.2,40.23,28.74,0,10.34,11.49,5.75,1.15,13.79,0.69,13.79,24.53,57.86,8.62,7.24,17.24,119.05,223.37,56.25
